sensor_id,temperature,humidity,air_quality,location,timestamp
S001,28.5,65,45,Downtown,2024-06-01T08:00:00Z
S001,29.1,64,46,Downtown,2024-06-01T08:05:00Z
S001,30.2,63,48,Downtown,2024-06-01T08:10:00Z
S001,31.5,62,50,Downtown,2024-06-01T08:15:00Z
S001,32.8,61,52,Downtown,2024-06-01T08:20:00Z
S002,22.3,58,35,Airport,2024-06-01T08:00:00Z
S002,22.5,57,36,Airport,2024-06-01T08:05:00Z
S002,22.7,58,37,Airport,2024-06-01T08:10:00Z
S002,22.4,59,36,Airport,2024-06-01T08:15:00Z
S002,22.6,58,35,Airport,2024-06-01T08:20:00Z
S003,25.1,72,55,Suburb,2024-06-01T08:00:00Z
S003,25.4,71,56,Suburb,2024-06-01T08:05:00Z
S003,25.9,70,58,Suburb,2024-06-01T08:10:00Z
S003,26.2,69,59,Suburb,2024-06-01T08:15:00Z
S003,26.5,68,61,Suburb,2024-06-01T08:20:00Z
S004,34.2,55,65,Hospital,2024-06-01T08:00:00Z
S004,35.1,54,68,Hospital,2024-06-01T08:05:00Z
S004,36.3,53,72,Hospital,2024-06-01T08:10:00Z
S004,37.5,52,75,Hospital,2024-06-01T08:15:00Z
S004,38.2,51,78,Hospital,2024-06-01T08:20:00Z
S005,27.6,66,48,Mall,2024-06-01T08:00:00Z
S005,28.1,65,49,Mall,2024-06-01T08:05:00Z
S005,28.7,64,50,Mall,2024-06-01T08:10:00Z
S005,29.2,63,51,Mall,2024-06-01T08:15:00Z
S005,29.8,62,53,Mall,2024-06-01T08:20:00Z
S001,33.4,60,54,Downtown,2024-06-01T08:25:00Z
S002,22.8,57,34,Airport,2024-06-01T08:25:00Z
S003,27.1,67,62,Suburb,2024-06-01T08:25:00Z
S004,39.1,50,82,Hospital,2024-06-01T08:25:00Z
S005,30.3,61,54,Mall,2024-06-01T08:25:00Z
