sensor_id,temperature,humidity,air_quality,location,timestamp
,28.5,65,45,Downtown,2024-06-01T08:00:00Z
S001,250,65,45,Downtown,2024-06-01T08:01:00Z
S001,28.9,,46,Downtown,2024-06-01T08:02:00Z
S001,29.0,64,,Downtown,2024-06-01T08:03:00Z
S001,29.1,64,46,Downtown,2024-06-01T08:04:00Z
S001,30.2,63,48,Downtown,2024-06-01T08:05:00Z
S002,22.3,58,35,Airport,2024-06-01T08:05:00Z
S002,,58,35,Airport,2024-06-01T08:06:00Z
S002,22.4,57,36,Airport,2024-06-01T08:07:00Z
S002,22.5,57,36,Airport,2024-06-01T08:08:00Z
S002,22.5,57,36,Airport,2024-06-01T08:09:00Z
S002,22.7,,37,Airport,2024-06-01T08:10:00Z
S003,25.9,70,58,Suburb,2024-06-01T08:10:00Z
S003,26.0,70,58,Suburb,2024-06-01T08:11:00Z
S003,26.0,69,59,Suburb,2024-06-01T08:12:00Z
S003,26.1,69,59,,2024-06-01T08:13:00Z
S003,26.1,69,59,Suburb,2024-06-01T08:14:00Z
S003,26.2,69,59,Suburb,2024-06-01T08:15:00Z
S004,37.5,52,75,Hospital,
S004,37.6,52,75,Hospital,2024-06-01T08:16:00Z
S004,37.9,51,76,Hospital,2024-06-01T08:17:00Z
S004,38.0,51,77,Hospital,2024-06-01T08:18:00Z
S004,38.1,51,77,Hospital,2024-06-01T08:19:00Z
S004,38.2,51,78,Hospital,2024-06-01T08:20:00Z
S005,29.2,63,51,Mall,2024-06-01T08:15:00Z
S005,29.3,63,52,Mall,2024-06-01T08:16:00Z
S005,29.5,62,52,Mall,2024-06-01T08:17:00Z
S005,29.6,62,53,Mall,2024-06-01T08:18:00Z
S005,29.7,62,53,Mall,2024-06-01T08:19:00Z
S005,29.8,62,53,Mall,2024-06-01T08:20:00Z
S001,32.8,61,52,Downtown,2024-06-01T08:20:00Z
S001,32.9,61,52,Downtown,2024-06-01T08:21:00Z
S001,33.1,60,53,Downtown,2024-06-01T08:22:00Z
S001,33.2,60,53,Downtown,2024-06-01T08:23:00Z
S001,33.3,60,54,Downtown,2024-06-01T08:24:00Z
S001,33.4,60,54,Downtown,2024-06-01T08:25:00Z
S002,22.4,59,36,Airport,2024-06-01T08:15:00Z
S002,22.5,59,36,Airport,2024-06-01T08:16:00Z
S002,22.5,58,35,Airport,2024-06-01T08:17:00Z
S002,22.5,58,35,Airport,2024-06-01T08:18:00Z
S002,22.6,58,35,Airport,2024-06-01T08:19:00Z
S002,22.6,58,35,Airport,2024-06-01T08:20:00Z
S003,26.2,69,59,Suburb,2024-06-01T08:15:00Z
S003,26.3,69,59,Suburb,2024-06-01T08:16:00Z
S003,26.4,68,60,Suburb,2024-06-01T08:17:00Z
S003,26.4,68,60,Suburb,2024-06-01T08:18:00Z
S003,26.5,68,61,Suburb,2024-06-01T08:19:00Z
S003,26.5,68,61,Suburb,2024-06-01T08:20:00Z
S004,38.2,51,78,Hospital,2024-06-01T08:20:00Z
S004,38.4,51,79,Hospital,2024-06-01T08:21:00Z
S004,38.6,50,80,Hospital,2024-06-01T08:22:00Z
S004,38.8,50,81,Hospital,2024-06-01T08:23:00Z
S004,38.9,50,81,Hospital,2024-06-01T08:24:00Z
S004,39.1,50,82,Hospital,2024-06-01T08:25:00Z
S005,29.8,62,53,Mall,2024-06-01T08:20:00Z
S005,30.0,62,53,Mall,2024-06-01T08:21:00Z
S005,30.1,61,54,Mall,2024-06-01T08:22:00Z
S005,30.1,61,54,Mall,2024-06-01T08:23:00Z
S005,30.2,61,54,Mall,2024-06-01T08:24:00Z
S005,30.3,61,54,Mall,2024-06-01T08:25:00Z
